Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1994-1995,4,1,Midwest,4,61,virginia,arkansas,68,2,,,
1994-1995,4,2,Southeast,1,61,kentucky,north-carolina,74,2,,,
1994-1995,4,3,East,4,68,oklahoma-state,massachusetts,54,2,,,
1994-1995,4,4,West,1,102,ucla,connecticut,96,2,,,
1994-1995,5,1,Final Four,2,75,arkansas,north-carolina,68,2,,,
1994-1995,5,2,Final Four,4,61,oklahoma-state,ucla,74,1,,,
1994-1995,6,1,Championship,2,78,arkansas,ucla,89,1,,,
1995-1996,1,1,Southeast,1,68,connecticut,colgate,59,16,,,
1995-1996,1,1,Southeast,2,66,cincinnati,unc-greensboro,61,15,,,
1995-1996,1,1,Southeast,3,90,georgia-tech,austin-peay,79,14,,,
1995-1996,1,1,Southeast,4,41,ucla,princeton,43,13,,,
1995-1996,1,1,Southeast,5,58,mississippi-state,virginia-commonwealth,51,12,,,
1995-1996,1,1,Southeast,6,51,indiana,boston-college,64,11,,,
1995-1996,1,1,Southeast,7,61,temple,oklahoma,43,10,,,
1995-1996,1,1,Southeast,8,60,duke,eastern-michigan,75,9,,,
1995-1996,1,2,West,1,73,purdue,western-carolina,71,16,,,
1995-1996,1,2,West,2,92,kansas,south-carolina-state,54,15,,,
1995-1996,1,2,West,3,90,arizona,valparaiso,51,14,,,
1995-1996,1,2,West,4,88,syracuse,montana-state,55,13,,,
1995-1996,1,2,West,5,63,memphis,drexel,75,12,,,
1995-1996,1,2,West,6,81,iowa,george-washington,79,11,,,
1995-1996,1,2,West,7,79,maryland,santa-clara,91,10,,,
1995-1996,1,2,West,8,81,georgia,clemson,74,9,,,
1995-1996,1,3,East,1,92,massachusetts,central-florida,70,16,,,
1995-1996,1,3,East,2,93,georgetown,mississippi-valley-state,56,15,,,
1995-1996,1,3,East,3,74,texas-tech,northern-illinois,73,14,,,
1995-1996,1,3,East,4,68,marquette,monmouth,44,13,,,
1995-1996,1,3,East,5,80,penn-state,arkansas,86,12,,,
1995-1996,1,3,East,6,86,north-carolina,new-orleans,62,11,,,
1995-1996,1,3,East,7,69,new-mexico,kansas-state,48,10,,,
1995-1996,1,3,East,8,58,bradley,stanford,66,9,,,
1995-1996,1,4,Midwest,1,110,kentucky,san-jose-state,72,16,,,
1995-1996,1,4,Midwest,2,62,wake-forest,louisiana-monroe,50,15,,,
1995-1996,1,4,Midwest,3,92,villanova,portland,58,14,,,
1995-1996,1,4,Midwest,4,73,utah,canisius,67,13,,,
1995-1996,1,4,Midwest,5,74,iowa-state,california,64,12,,,
1995-1996,1,4,Midwest,6,82,louisville,tulsa,80,11,,,
1995-1996,1,4,Midwest,7,76,michigan,texas,80,10,,,
1995-1996,1,4,Midwest,8,48,green-bay,virginia-tech,61,9,,,
1995-1996,2,1,Southeast,1,95,connecticut,eastern-michigan,81,9,,,
1995-1996,2,1,Southeast,2,78,cincinnati,temple,65,7,,,
1995-1996,2,1,Southeast,3,103,georgia-tech,boston-college,89,11,,,
1995-1996,2,1,Southeast,13,41,princeton,mississippi-state,63,5,,,
1995-1996,2,2,West,1,69,purdue,georgia,76,8,,,
1995-1996,2,2,West,2,76,kansas,santa-clara,51,10,,,
1995-1996,2,2,West,3,87,arizona,iowa,73,6,,,
1995-1996,2,2,West,4,69,syracuse,drexel,58,12,,,
1995-1996,2,3,East,1,79,massachusetts,stanford,74,9,,,
1995-1996,2,3,East,2,73,georgetown,new-mexico,62,7,,,
1995-1996,2,3,East,3,92,texas-tech,north-carolina,73,6,,,
1995-1996,2,3,East,4,56,marquette,arkansas,65,12,,,
1995-1996,2,4,Midwest,1,84,kentucky,virginia-tech,60,9,,,
1995-1996,2,4,Midwest,2,65,wake-forest,texas,62,10,,,
1995-1996,2,4,Midwest,3,64,villanova,louisville,68,6,,,
1995-1996,2,4,Midwest,4,74,utah,iowa-state,64,5,,,
1995-1996,3,1,Southeast,1,55,connecticut,mississippi-state,60,5,,,
1995-1996,3,1,Southeast,2,87,cincinnati,georgia-tech,70,3,,,
1995-1996,3,2,West,8,81,georgia,syracuse,83,4,,,
1995-1996,3,2,West,2,83,kansas,arizona,80,3,,,
1995-1996,3,3,East,1,79,massachusetts,arkansas,63,12,,,
